Bus Name,Link Route,Bus Type,Departing Time,Duration Time,Reaching Time,Star Rating,Price,Seat Availability
PEPSU (Punjab) - 67085,Delhi to Patiala,Volvo AC Seater (2+2),02:00,06h 00m,08:00,4.6,816.0,20
PEPSU (Punjab) - 67085,Delhi to Patiala,Volvo AC Seater (2+2),03:00,05h 00m,08:00,4.7,702.0,19
PEPSU (Punjab) - 67069,Delhi to Patiala,Volvo AC Seater (2+2),06:40,06h 50m,13:30,2.4,816.0,16
PEPSU (Punjab) - 67069,Delhi to Patiala,Volvo AC Seater (2+2),08:00,05h 30m,13:30,4.3,702.0,17
PEPSU (Punjab) - 67105,Delhi to Patiala,AC Seater Hvac 2+2,09:50,05h 30m,15:20,2.4,445.0,35
PEPSU (Punjab) - 67160,Delhi to Patiala,Volvo AC Seater (2+2),11:45,05h 30m,17:15,3.7,702.0,28
PEPSU (Punjab) - 66665,Delhi to Patiala,Volvo AC Seater (2+2),14:01,04h 59m,19:00,3.8,702.0,30
PEPSU (Punjab) - 66689,Delhi to Patiala,Volvo AC Seater (2+2),15:25,05h 00m,20:25,3.5,702.0,36
PEPSU (Punjab) - 66667,Delhi to Patiala,Volvo AC Seater (2+2),17:31,04h 59m,22:30,3.9,702.0,39
PEPSU (Punjab) - 67103,Delhi to Patiala,AC Seater Hvac 2+2,22:31,05h 29m,04:00,3.1,445.0,38
Indo Canadian Transport Company,Delhi to Patiala,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,2.8,3850.0,36
Indo Canadian Transport Company,Delhi to Patiala,Volvo A/C Sleeper (2+1),10:00,07h 00m,17:00,4.0,3850.0,36
Indo Canadian Transport Company,Delhi to Patiala,A/C Semi Sleeper (2+2),06:00,07h 00m,13:00,3.9,3300.0,40
Indo Canadian Transport Company,Delhi to Patiala,Mercedes A/C Semi Sleeper (2+2),16:30,07h 00m,23:30,3.9,3300.0,47
Indo Canadian Transport Company,Delhi to Patiala,Mercedes A/C Semi Sleeper (2+2),23:30,07h 00m,06:30,3.9,3300.0,47
Indo Canadian Transport Company,Delhi to Patiala,A/C Semi Sleeper (2+2),08:00,07h 00m,15:00,3.9,3300.0,38
Indo Canadian Transport Company,Delhi to Patiala,Volvo A/C Sleeper (2+1),13:30,07h 00m,20:30,3.9,3850.0,37
Indo Canadian Transport Company,Delhi to Patiala,Volvo A/C Sleeper (2+1),03:30,07h 00m,10:30,3.9,3850.0,29
Indo Canadian Transport Company,Delhi to Patiala,Mercedes A/C Semi Sleeper (2+2),02:00,07h 00m,09:00,3.9,3300.0,45
Indo Canadian Transport Company,Delhi to Patiala,A/C Semi Sleeper (2+2),04:30,07h 00m,11:30,3.9,3300.0,30
Indo Canadian Transport Company,Delhi to Patiala,Mercedes A/C Semi Sleeper (2+2),12:00,07h 00m,19:00,3.9,3300.0,47
Indo Canadian Transport Company,Delhi to Patiala,Mercedes A/C Semi Sleeper (2+2),19:30,07h 00m,02:30,3.9,3300.0,44
Indo Canadian Transport Company,Delhi to Patiala,A/C Semi Sleeper (2+2),14:30,07h 00m,21:30,3.9,3300.0,44
PEPSU (Punjab) - 66695,Patiala to Delhi,Volvo AC Seater (2+2),04:20,05h 01m,09:21,3.9,702.0,12
PEPSU (Punjab) - 66646,Patiala to Delhi,Volvo AC Seater (2+2),05:00,05h 01m,10:01,4.1,702.0,33
PEPSU (Punjab) - 66647,Patiala to Delhi,Volvo AC Seater (2+2),06:15,05h 01m,11:16,4.1,702.0,32
PEPSU (Punjab) - 66648,Patiala to Delhi,Volvo AC Seater (2+2),09:50,05h 01m,14:51,4.3,702.0,25
PEPSU (Punjab) - 66649,Patiala to Delhi,Volvo AC Seater (2+2),12:40,06h 09m,18:49,4.1,702.0,34
PEPSU (Punjab) - 66649,Patiala to Delhi,Volvo AC Seater (2+2),12:40,06h 40m,19:20,4.3,816.0,34
PEPSU (Punjab) - 67101,Patiala to Delhi,AC Seater Hvac 2+2,15:25,05h 01m,20:26,4.4,445.0,35
PEPSU (Punjab) - 67142,Patiala to Delhi,Volvo AC Seater (2+2),16:00,05h 25m,21:25,2.2,702.0,31
PEPSU (Punjab) - 67142,Patiala to Delhi,Volvo AC Seater (2+2),16:00,06h 40m,22:40,4.3,816.0,31
PEPSU (Punjab) - 67104,Patiala to Delhi,AC Seater Hvac 2+2,22:30,05h 01m,03:31,4.2,445.0,36
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),20:00,07h 00m,03:00,2.9,3300.0,21
Indo Canadian Transport Company,Patiala to Delhi,Volvo A/C Sleeper (2+1),22:00,07h 00m,05:00,3.9,3850.0,18
Indo Canadian Transport Company,Patiala to Delhi,Volvo A/C Sleeper (2+1),01:59,07h 00m,08:59,3.9,3850.0,9
Indo Canadian Transport Company,Patiala to Delhi,A/C Semi Sleeper (2+2),18:05,07h 00m,01:05,3.9,3300.0,32
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),04:00,07h 00m,11:00,3.9,3300.0,43
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),08:00,07h 00m,15:00,3.9,3300.0,14
Indo Canadian Transport Company,Patiala to Delhi,A/C Semi Sleeper (2+2),06:00,07h 00m,13:00,3.9,3300.0,30
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),10:00,07h 00m,17:00,3.9,3300.0,51
Indo Canadian Transport Company,Patiala to Delhi,Volvo A/C Sleeper (2+1),12:00,07h 00m,19:00,3.9,3850.0,5
Indo Canadian Transport Company,Patiala to Delhi,Volvo A/C Sleeper (2+1),14:00,07h 00m,21:00,3.9,3850.0,5
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),14:00,07h 00m,21:00,3.9,3300.0,44
Indo Canadian Transport Company,Patiala to Delhi,Mercedes A/C Semi Sleeper (2+2),16:00,07h 00m,23:00,3.9,3300.0,51
Indo Canadian Transport Company,Patiala to Delhi,Volvo A/C Sleeper (2+1),16:00,07h 00m,23:00,3.9,3850.0,5
Indo Canadian Transport Company,Patiala to Delhi,A/C Semi Sleeper (2+2),12:00,07h 00m,19:00,3.9,3300.0,17
PEPSU (Punjab) - 67167,Ludhiana to Delhi,Volvo AC Seater (2+2),00:15,08h 05m,08:20,3.9,873.0,36
PEPSU (Punjab) - 67168,Ludhiana to Delhi,Volvo AC Seater (2+2),05:15,07h 55m,13:10,4.1,997.0,39
PEPSU (Punjab) - 67168,Ludhiana to Delhi,Volvo AC Seater (2+2),05:15,06h 55m,12:10,3.7,873.0,39
PEPSU (Punjab) - 67134,Ludhiana to Delhi,Volvo AC Seater (2+2),07:00,07h 55m,14:55,4.1,997.0,34
PEPSU (Punjab) - 67134,Ludhiana to Delhi,Volvo AC Seater (2+2),07:00,06h 55m,13:55,3.9,873.0,34
PEPSU (Punjab) - 67161,Ludhiana to Delhi,Volvo AC Seater (2+2),10:15,09h 00m,19:15,4.3,997.0,24
PEPSU (Punjab) - 67161,Ludhiana to Delhi,Volvo AC Seater (2+2),10:15,08h 00m,18:15,3.9,873.0,24
PEPSU (Punjab) - 67162,Ludhiana to Delhi,Volvo AC Seater (2+2),15:00,07h 30m,22:30,3.3,873.0,34
PEPSU (Punjab) - 67162,Ludhiana to Delhi,Volvo AC Seater (2+2),15:00,08h 30m,23:30,2.8,997.0,34
PEPSU (Punjab) - 67096,Ludhiana to Delhi,Volvo AC Seater (2+2),16:20,08h 05m,00:25,4.7,873.0,30
PEPSU (Punjab) - 67096,Ludhiana to Delhi,Volvo AC Seater (2+2),16:20,09h 05m,01:25,3.5,997.0,33
PEPSU (Punjab) - 67135,Ludhiana to Delhi,Volvo AC Seater (2+2),17:35,08h 00m,01:35,3.4,873.0,33
PEPSU (Punjab) - 67135,Ludhiana to Delhi,Volvo AC Seater (2+2),17:35,09h 00m,02:35,4.1,997.0,35
PEPSU (Punjab) - 67098,Ludhiana to Delhi,Volvo AC Seater (2+2),19:50,08h 00m,03:50,3.7,873.0,37
PEPSU (Punjab) - 67098,Ludhiana to Delhi,Volvo AC Seater (2+2),19:50,09h 00m,04:50,4.5,997.0,38
PEPSU (Punjab) - 67128,Ludhiana to Delhi,Volvo AC Seater (2+2),20:50,07h 50m,04:40,4.6,873.0,38
PEPSU (Punjab) - 67128,Ludhiana to Delhi,Volvo AC Seater (2+2),20:50,09h 00m,05:50,4.3,997.0,38
RSRTC - 170039,Ludhiana to Delhi,Express Non AC Seater 2+3,08:20,06h 40m,15:00,4.4,436.0,42
Yolo Bus,Ludhiana to Delhi,VE A/C Seater / Sleeper (2+1),22:27,06h 49m,05:16,3.7,500.0,30
Zingbus Plus,Ludhiana to Delhi,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06h 50m,06:40,4.7,846.0,26
NueGo,Ludhiana to Delhi,Electric A/C Seater (2+2),23:15,06h 50m,06:05,3.0,445.0,32
Laxmi holidays,Ludhiana to Delhi,VE A/C Sleeper (2+1),23:55,06h 50m,06:45,4.6,581.0,24
IntrCity SmartBus,Ludhiana to Delhi,A/C Seater / Sleeper (2+1),23:00,07h 10m,06:10,2.0,839.0,26
New Navyug Travels,Ludhiana to Delhi,A/C Sleeper (2+1),23:00,06h 30m,05:30,4.4,608.0,35
NueGo,Ludhiana to Delhi,Electric A/C Seater (2+2),11:00,06h 50m,17:50,1.0,553.0,16
NueGo,Ludhiana to Delhi,Electric A/C Seater (2+2),18:00,06h 50m,00:50,4.4,491.0,35
Laxmi holidays,Ludhiana to Delhi,Bharat Benz A/C Seater /Sleeper (2+1),21:35,06h 35m,04:10,2.0,539.0,39
Golden Temple Express Volvo,Ludhiana to Delhi,A/C Seater / Sleeper (2+2),23:25,05h 55m,05:20,4.4,599.0,23
IntrCity SmartBus,Ludhiana to Delhi,Bharat Benz A/C Seater /Sleeper (2+1),00:50,05h 45m,06:35,3.0,479.0,1
Zingbus Plus,Ludhiana to Delhi,Bharat Benz A/C Seater /Sleeper (2+1),02:30,07h 30m,10:00,4.3,883.0,6
NueGo,Ludhiana to Delhi,Electric A/C Seater (2+2),13:00,06h 50m,19:50,2.0,491.0,30
Fateh Tour And Travels,Ludhiana to Delhi,A/C Seater / Sleeper (2+2),01:50,05h 30m,07:20,4.0,630.0,36
Golden Temple Express Volvo,Ludhiana to Delhi,A/C Seater / Sleeper (2+2),23:30,06h 00m,05:30,1.0,549.0,20
IntrCity SmartBus,Ludhiana to Delhi,A/C Seater / Sleeper (2+1),23:45,06h 40m,06:25,4.0,669.0,24
Golden Temple Express Volvo,Ludhiana to Delhi,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 07m,06:05,1.0,599.0,33
IntrCity SmartBus,Ludhiana to Delhi,A/C Sleeper (2+1),23:05,06h 40m,05:45,4.4,809.0,27
IntrCity SmartBus,Ludhiana to Delhi,Bharat Benz A/C Seater /Sleeper (2+1),01:10,05h 20m,06:30,2.0,509.0,1
Golden Temple Volvo Bus Service,Ludhiana to Delhi,A/C Seater / Sleeper (2+2),01:40,06h 15m,07:55,4.5,761.0,13
Classic Travels,Ludhiana to Delhi,A/C Seater / Sleeper (2+2),23:55,07h 00m,06:55,4.4,389.0,37
Golden Temple Express Volvo,Ludhiana to Delhi,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06h 07m,06:05,3.0,599.0,36
